iter	Passed	Remaining
409	4889	7035
410	4898	7019
411	4908	7005
412	4919	6991
413	4928	6975
414	4939	6962
415	4949	6948
416	4959	6933
417	4969	6919
418	4978	6903
419	4989	6889
420	4999	6876
421	5010	6863
422	5021	6849
423	5030	6834
424	5041	6821
425	5052	6807
426	5060	6791
427	5071	6777
428	5081	6762
429	5090	6747
430	5101	6734
431	5109	6718
432	5120	6704
433	5128	6688
434	5138	6673
435	5149	6660
436	5158	6645
437	5169	6632
438	5177	6616
439	5187	6602
440	5198	6589
441	5207	6574
442	5218	6561
443	5229	6548
444	5238	6532
445	5248	6518
446	5256	6503
447	5267	6490
448	5278	6477
449	5287	6462
450	5298	6449
451	5306	6434
452	5317	6421
453	5328	6407
454	5336	6391
455	5347	6379
456	5355	6363
457	5366	6350
458	5377	6338
459	5386	6323
460	5397	6310
461	5407	6297
462	5416	6282
463	5428	6270
464	5436	6255
465	5446	6241
466	5456	6228
467	5466	6213
468	5476	6200
469	5486	6186
470	5497	6174
471	5508	6162
472	5516	6146
473	5527	6133
474	5535	6118
475	5545	6104
476	5555	6091
477	5564	6076
478	5576	6065
479	5589	6055
480	5598	6040
481	5608	6027
482	5617	6012
483	5627	6000
484	5638	5987
485	5647	5972
486	5657	5959
487	5666	5944
488	5678	5933
489	5688	5921
490	5696	5905
491	5707	5893
492	5716	5878
493	5726	5865
494	5736	5852
495	5745	5837
496	5755	5824
497	5763	5810
498	5774	5797
499	5783	5783
500	5793	5770
501	5802	5756
502	5811	5742
503	5822	5730
504	5831	5716
505	5842	5703
506	5852	5691
507	5861	5676
508	5871	5663
509	5879	5649
510	5890	5636
511	5900	5624
512	5909	5609
513	5920	5597
514	5929	5584
515	5939	5570
516	5949	5557
517	5958	5544
518	5969	5532
519	5978	5518
520	5990	5507
521	6000	5494
522	6009	5480
523	6019	5467
524	6028	5454
525	6039	5442
526	6049	5429
527	6058	5415
528	6069	5404
529	6081	5393
530	6090	5379
531	6100	5366
532	6108	5352
533	6118	5339
534	6127	5325
535	6138	5313
536	6150	5302
537	6162	5291
538	6173	5279
539	6185	5268
540	6198	5258
541	6212	5249
542	6224	5238
543	6236	5227
544	6249	5217
545	6263	5207
546	6274	5196
547	6286	5185
548	6300	5175
549	6314	5166
550	6327	5156
551	6338	5144
552	6350	5133
553	6364	5123
554	6377	5113
555	6386	5100
556	6397	5087
557	6405	5074
558	6416	5061
559	6427	5049
560	6435	5035
561	6445	5023
562	6454	5009
563	6465	4998
564	6479	4988
565	6490	4976
566	6498	4962
567	6509	4951
568	6518	4937
569	6529	4925
570	6539	4913
571	6548	4899
572	6559	4888
573	6568	4875
574	6578	4862
575	6588	4849
576	6597	4836
577	6608	4824
578	6617	4811
579	6627	4799
580	6638	4787
581	6646	4773
582	6657	4761
583	6668	4749
584	6676	4736
585	6686	4724
586	6695	4710
587	6705	4698
588	6715	4685
589	6724	4672
